fg%;3p%;ft%;orb;drb;trb;ast;stl;blk;tov;pts;ts%;efg%;3par;ftr;orb%;drb%;trb%;ast%;stl%;blk%;tov%;usg%;ortg;drtg;team;team_opp;total_opp;season;date;won
0.526;0.37;0.765;9.0;39.0;48.0;24.0;5.0;5.0;15.0;118.0;0.635;0.59;0.346;0.436;24.3;92.9;60.8;58.5;5.1;7.9;13.9;100.0;119.7;109.5;UTA;DEN;108;2019;9/04/2019;True
0.476;0.435;0.682;14.0;41.0;55.0;17.0;7.0;9.0;24.0;105.0;0.56;0.536;0.274;0.262;34.1;85.4;61.8;42.5;6.8;15.0;20.4;100.0;102.0;106.9;OKC;HOU;110;2016;2/11/2015;False
0.461;0.31;0.655;7.0;27.0;34.0;22.0;18.0;7.0;12.0;110.0;0.54;0.511;0.326;0.326;14.6;65.9;38.2;53.7;17.5;11.5;10.5;100.0;106.9;102.0;HOU;OKC;105;2016;2/11/2015;True
0.381;0.08;0.769;12.0;32.0;44.0;15.0;9.0;4.0;9.0;86.0;0.419;0.392;0.258;0.134;22.6;84.2;48.4;40.5;9.5;7.7;8.1;100.0;90.4;104.1;IND;LAL;99;2018;19/01/2018;False
0.55;0.321;0.143;6.0;41.0;47.0;26.0;7.0;6.0;14.0;99.0;0.575;0.606;0.35;0.175;15.8;77.4;51.6;59.1;7.4;8.3;14.0;100.0;104.1;90.4;LAL;IND;86;2018;19/01/2018;True
0.378;0.25;0.765;14.0;43.0;57.0;18.0;11.0;2.0;16.0;87.0;0.446;0.411;0.267;0.189;26.9;82.7;54.8;52.9;11.3;5.1;14.1;100.0;89.7;83.5;DEN;LAC;81;2016;24/02/2016;True
0.353;0.283;0.571;9.0;38.0;47.0;19.0;13.0;9.0;17.0;81.0;0.444;0.429;0.541;0.165;17.3;73.1;45.2;63.3;13.4;13.6;15.7;100.0;83.5;89.7;LAC;DEN;87;2016;24/02/2016;False
0.5;0.475;0.861;10.0;28.0;38.0;26.0;14.0;4.0;11.0;136.0;0.668;0.61;0.465;0.419;22.7;73.7;46.3;60.5;13.6;7.8;9.7;100.0;132.5;126.7;MIN;DEN;130;2022;1/04/2022;True
0.535;0.343;0.897;10.0;34.0;44.0;36.0;7.0;2.0;18.0;130.0;0.658;0.605;0.407;0.337;26.3;77.3;53.7;78.3;6.8;4.3;15.4;100.0;126.7;132.5;DEN;MIN;136;2022;1/04/2022;False
0.41;0.382;0.737;12.0;43.0;55.0;27.0;5.0;2.0;11.0;109.0;0.503;0.475;0.34;0.19;21.8;91.5;53.9;65.9;4.8;4.3;9.2;100.0;104.2;111.8;MIA;TOR;117;2019;7/04/2019;False
0.448;0.39;0.852;4.0;43.0;47.0;26.0;7.0;5.0;11.0;117.0;0.592;0.54;0.471;0.31;8.5;78.2;46.1;66.7;6.7;7.6;10.0;100.0;111.8;104.2;TOR;MIA;109;2019;7/04/2019;True
0.545;0.462;0.8;7.0;30.0;37.0;29.0;4.0;5.0;15.0;108.0;0.646;0.623;0.338;0.195;20.0;68.2;46.8;69.0;4.4;7.5;15.2;100.0;119.2;128.0;PHO;DET;116;2020;5/02/2020;False
0.484;0.429;0.75;14.0;28.0;42.0;31.0;9.0;2.0;6.0;116.0;0.568;0.547;0.295;0.168;31.8;80.0;53.2;67.4;9.9;3.9;5.6;100.0;128.0;119.2;DET;PHO;108;2020;5/02/2020;True
0.422;0.368;0.652;6.0;32.0;38.0;20.0;5.0;4.0;15.0;105.0;0.524;0.5;0.422;0.256;11.3;74.4;39.6;52.6;4.7;5.8;13.0;100.0;98.2;123.5;SAC;MIN;132;2019;17/12/2018;False
0.5;0.37;0.867;11.0;47.0;58.0;37.0;10.0;7.0;11.0;132.0;0.604;0.552;0.281;0.313;25.6;88.7;60.4;77.1;9.4;13.5;9.2;100.0;123.5;98.2;MIN;SAC;105;2019;17/12/2018;True
0.537;0.475;0.875;7.0;31.0;38.0;28.0;11.0;10.0;11.0;135.0;0.662;0.637;0.421;0.168;17.9;62.0;42.7;54.9;10.6;14.7;9.7;100.0;129.6;100.8;MIN;NOP;105;2021;11/03/2021;True
0.43;0.188;0.542;19.0;32.0;51.0;28.0;7.0;6.0;18.0;105.0;0.475;0.46;0.32;0.24;38.0;82.1;57.3;65.1;6.7;10.9;14.0;100.0;100.8;129.6;NOP;MIN;135;2021;11/03/2021;False
